X,Y,OBJECTID,MCD,EMS_STATUS,EMS,LONG_NAME,SHORT_NAME,FIRE_STATION_NO,FIRE_STATION_STATUS,COMMENT,ADDRESS,URL
-89.49794410939,43.0329437922117,40,CITY OF MADISON,1,Y,Fire Station # 7,# 7,7,1,Active,1810 McKenna Blvd,http://www.cityofmadison.com/fire/stations/station7.cfm
-89.4952907790444,43.0594363811983,41,CITY OF MADISON,1,Y,Fire Station # 2,# 2,2,1,Active,421 Grand Canyon Dr,http://www.cityofmadison.com/fire/stations/station2.cfm
-89.4505069876802,43.0684871201514,42,CITY OF MADISON,0,N,Fire Station # 9,# 9,9,1,Active,201 N. Midvale Blvd,http://www.cityofmadison.com/fire/stations/station9.cfm
-89.3962704088743,43.0383266229665,43,CITY OF MADISON,1,Y,Fire Station # 6,# 6,6,1,Active,825 West Badger Rd,http://www.cityofmadison.com/fire/stations/station6.cfm
-89.4115743874945,43.0683594504209,44,CITY OF MADISON,1,Y,Fire Station # 4,# 4,4,1,Active,1437 Monroe St,http://www.cityofmadison.com/fire/stations/station4.cfm
-89.3902249468308,43.0737991392702,45,CITY OF MADISON,0,N,Fire Station # 1,# 1,1,1,Active,316 W Dayton St,http://www.cityofmadison.com/fire/stations/station1.cfm
-89.3634293061983,43.0836572870083,46,CITY OF MADISON,1,Y,Fire Station # 3,# 3,3,1,Active,1217 Williamson St,http://www.cityofmadison.com/fire/stations/station3.cfm
-89.368422182745,43.1331584607165,47,CITY OF MADISON,1,Y,Fire Station # 10,# 10,10,1,Active,1517 Troy Dr,http://www.cityofmadison.com/fire/stations/station10.cfm
-89.3067137724776,43.0847354807566,48,CITY OF MADISON,1,Y,Fire Station # 5,# 5,5,1,Active,4418 Cottage Grove Rd,http://www.cityofmadison.com/fire/stations/station5.cfm
-89.3156538166012,43.1205020138441,49,CITY OF MADISON,1,Y,Fire Station # 8,# 8,8,1,Active,3945 Lien Rd,http://www.cityofmadison.com/fire/stations/station8.cfm
-89.2795624292389,43.1441126049975,50,CITY OF MADISON,0,N,Fire Station # 11,# 11,11,1,Active,4011 Morgan Way,http://www.cityofmadison.com/fire/stations/station11.cfm
-89.2696260837184,43.1016947349622,51,CITY OF MADISON,0,N,Fire Station # 13,# 13,13,1,Active,6350 Town Center Dr,http://www.cityofmadison.com/fire/stations/station13.cfm
-89.552668288448,43.0558358331778,52,CITY OF MADISON,0,N,Fire Station # 12,# 12,12,1,Active,400 South Point Rd,http://www.cityofmadison.com/fire/stations/station12.cfm
-89.2967289995619,43.0520522908958,53,CITY OF MADISON,0,N,Fire Station #14,# 14,14,0,Proposed,3218 Dairy Drive,
